model,qlike_mean,qlike_std,mse_log_mean,mse_log_std,mae_vol_mean,mae_vol_std,n_folds
garch11,0.5330882670617489,0.11849848065664034,1.222988765981153,0.23746566166867386,0.0036577351654419484,0.0011716619205169214,12
xgboost,0.5691527905158743,0.2060822615802178,0.8988518078688009,0.1588576545827415,0.0030546835409510985,0.0011627744656914996,12
lasso,0.5962307176761868,0.2026172816598693,0.9485983945134283,0.1717562846420644,0.003271541880252693,0.001620912213369907,12
ridge,0.596478121676111,0.2035402269134533,0.9481913139374235,0.17276729728819842,0.003283494673746522,0.0016693604829814779,12
svr,0.6155094817699318,0.26752918524047953,0.900671862291014,0.16866676420194066,0.003157870240407798,0.0014438646738606023,12
har_rv,0.9032956103594678,0.48254175798749305,1.4051868794073084,0.4789607809993161,0.004643715179879322,0.004244916094052091,12
