fold,model,test_start,test_end,n_test,qlike,mse_log,mae_vol
7,svr,2020-01-01,2020-12-31,253,1.3917913046918564,1.28484714382958,0.007097356198910218
7,xgboost,2020-01-01,2020-12-31,253,1.1521904059317079,1.0991318052585288,0.006136604261478211
8,har_rv,2021-01-01,2021-12-31,252,0.615270526695417,1.1406362575141304,0.002912883265192784
8,garch11,2021-01-01,2021-12-31,252,0.5698038959683858,1.4098001280023487,0.003326334095031426
8,ridge,2021-01-01,2021-12-31,252,0.5216737808699271,0.9198762975776926,0.0025836425506644257
8,lasso,2021-01-01,2021-12-31,252,0.5205810100254611,0.9205433274209763,0.0025841090534185545
8,svr,2021-01-01,2021-12-31,252,0.5640837144520564,0.9104936420130769,0.002586703999261602
8,xgboost,2021-01-01,2021-12-31,252,0.5047147779419823,0.8854816588342255,0.0025620103634370565
9,har_rv,2022-01-01,2022-12-31,251,1.7057607395283256,1.5939549062321423,0.006137325722032835
9,garch11,2022-01-01,2022-12-31,251,0.3911657047330827,0.838803420936972,0.004897417960938518
9,ridge,2022-01-01,2022-12-31,251,0.6488992217144899,0.8045079378467971,0.0044209640991602845
9,lasso,2022-01-01,2022-12-31,251,0.6507299565773293,0.8049494084921017,0.0044205134999408
9,svr,2022-01-01,2022-12-31,251,0.47506889805930264,0.7078985490143535,0.004291807274603609
9,xgboost,2022-01-01,2022-12-31,251,0.4791598959993773,0.6806134181290113,0.004150928143210317
10,har_rv,2023-01-01,2023-12-31,250,0.4125731629705573,0.783902078403051,0.00254443539667182
10,garch11,2023-01-01,2023-12-31,250,0.3194997433216641,0.9265457755651101,0.0026758656252144648
10,ridge,2023-01-01,2023-12-31,250,0.3476751521126636,0.6609826886793829,0.0024225247660482822
10,lasso,2023-01-01,2023-12-31,250,0.3477774005506561,0.6624517935198208,0.0024263813688260357
10,svr,2023-01-01,2023-12-31,250,0.35277287674673774,0.6256736648581898,0.002298800153193615
10,xgboost,2023-01-01,2023-12-31,250,0.3430312114578822,0.6349058019024616,0.0023005028647143243
11,har_rv,2024-01-01,2024-12-31,252,0.6255654528466261,1.0522507183255116,0.0028493650834512645
11,garch11,2024-01-01,2024-12-31,252,0.5069649959078829,1.2273216945828405,0.003156547344267073
11,ridge,2024-01-01,2024-12-31,252,0.5622613842522243,0.8781054852150274,0.0026042921416396378
11,lasso,2024-01-01,2024-12-31,252,0.5615492739559821,0.878724279016923,0.0026067958187693733
11,svr,2024-01-01,2024-12-31,252,0.6344144994410809,0.8744154376326284,0.0025819780748948737
11,xgboost,2024-01-01,2024-12-31,252,0.5956059139141291,0.8769488159210969,0.0025999210236241537
12,har_rv,2025-01-01,2025-12-31,250,1.0072637603122572,1.234436510269206,0.004021325184259363
12,garch11,2025-01-01,2025-12-31,250,0.5736715481229212,1.307095761096478,0.004442934942373013
12,ridge,2025-01-01,2025-12-31,250,0.7064585976491201,0.9589712916347725,0.0034442237115832816
12,lasso,2025-01-01,2025-12-31,250,0.7052920586696283,0.9581419293247015,0.003452681974276834
12,svr,2025-01-01,2025-12-31,250,0.6822103125719187,1.0174378601899323,0.00387294045712848
12,xgboost,2025-01-01,2025-12-31,250,0.6468379075977722,0.9600556310080764,0.0034904213741964634
13,har_rv,2026-01-01,2026-04-27,79,961.4671586383736,61.23610068702031,3.4160287977566584
13,garch11,2026-01-01,2026-04-27,79,898.9540790179893,2.718656262063175,0.027125139187820696
13,ridge,2026-01-01,2026-04-27,79,336920.1423480117,159.31995828638773,8.191668004094984
13,lasso,2026-01-01,2026-04-27,79,336920.5559252277,159.3201902455172,8.191669221377953
13,svr,2026-01-01,2026-04-27,79,1009.7610066255547,4.526774155978912,0.03190602016926601
13,xgboost,2026-01-01,2026-04-27,79,1084.517437683526,2.7022162551525364,0.02716598661653265
